ano,sintoma,resposta,n
2025,VOMITO,Sim,425012
2026,ARTRALGIA,Ignorado/Branco,17014
2026,ARTRALGIA,Nao,302596
2026,ARTRALGIA,Sim,69265
2026,CEFALEIA,Ignorado/Branco,17014
2026,CEFALEIA,Nao,78216
2026,CEFALEIA,Sim,293645
2026,DOR_COSTAS,Ignorado/Branco,17014
2026,DOR_COSTAS,Nao,275333
2026,DOR_COSTAS,Sim,96528
2026,DOR_RETRO,Ignorado/Branco,17014
2026,DOR_RETRO,Nao,263994
2026,DOR_RETRO,Sim,107867
2026,EXANTEMA,Ignorado/Branco,17014
2026,EXANTEMA,Nao,336499
2026,EXANTEMA,Sim,35362
2026,FEBRE,Ignorado/Branco,17014
2026,FEBRE,Nao,46751
2026,FEBRE,Sim,325110
2026,LACO,Ignorado/Branco,17014
2026,LACO,Nao,365149
2026,LACO,Sim,6712
2026,LEUCOPENIA,Ignorado/Branco,17014
2026,LEUCOPENIA,Nao,356410
2026,LEUCOPENIA,Sim,15451
2026,MIALGIA,Ignorado/Branco,17014
2026,MIALGIA,Nao,77000
2026,MIALGIA,Sim,294861
2026,NAUSEA,Ignorado/Branco,17014
2026,NAUSEA,Nao,216617
2026,NAUSEA,Sim,155244
2026,PETEQUIA_N,Ignorado/Branco,17014
2026,PETEQUIA_N,Nao,346775
2026,PETEQUIA_N,Sim,25086
2026,VOMITO,Ignorado/Branco,17014
2026,VOMITO,Nao,262659
2026,VOMITO,Sim,109202
